YAL015C
YAL026C
YAL038W
YAL048C
YAL049C
YAL054C
YAR009C
YBL005W-B
YBL011W
YBL057C
YBL057C
YBL057C
YBL063W
YBL098W
YBL100W-B
YBR001C
YBR006W
YBR012W-B
YBR019C
YBR020W
YBR025C
YBR041W
YBR042C
YBR056W
YBR067C
YBR084W
YBR115C
YBR117C
YBR159W
YBR163W
YBR179C
YBR208C
YBR208C
YBR213W
YBR218C
YBR218C
YBR221C
YBR222C
YBR229C
YBR248C
YBR248C
YBR265W
YBR281C
YBR295W
YBR299W
YCL004W
YCL009C
YCL017C
YCL019W
YCL030C
YCL030C
YCR026C
YCR026C
YCR047C
YDL021W
YDL024C
YDL045C
YDL052C
YDL086W
YDL086W
YDL086W
YDL103C
YDL114W
YDL141W
YDL171C
YDL236W
YDR001C
YDR007W
YDR009W
YDR018C
YDR020C
YDR034C-D
YDR036C
YDR038C
YDR039C
YDR040C
YDR050C
YDR051C
YDR062W
YDR067C
YDR071C
YDR071C
YDR074W
YDR093W
YDR098C-B
YDR106W
YDR125C
YDR127W
YDR148C
YDR210C-D
YDR210W-B
YDR232W
YDR234W
YDR242W
YDR242W
YDR242W
YDR261C
YDR261C-D
YDR261W-B
YDR270W
YDR316W-B
YDR332W
YDR332W
YDR354W
YDR365W-B
YDR371W
YDR400W
YDR424C
YDR428C
YDR436W
YDR436W
YDR481C
YEL016C
YEL016C
YEL020C
YEL020C
YEL021W
YEL031W
YEL041W
YEL061C
YEL070W
YEL077C
YER015W
YER037W
YER052C
YER057C
YER061C
YER062C
YER065C
YER069W
YER070W
YER073W
YER080W
YER081W
YER086W
YER134C
YER138C
YER160C
YER166W
YER176W
YER178W
YFL002W-A
YFL030W
YFL045C
YFL059W
YFL066C
YFR006W
YFR015C
YFR018C
YFR030W
YFR044C
YFR053C
YGL006W
YGL009C
YGL026C
YGL027C
YGL028C
YGL037C
YGL062W
YGL062W
YGL085W
YGL085W
YGL099W
YGL156W
YGL167C
YGL185C
YGL205W
YGL216W
YGL224C
YGL234W
YGL253W
YGR015C
YGR027W-B
YGR031W
YGR038C-B
YGR109W-B
YGR124W
YGR161C-D
YGR161W-B
YGR175C
YGR189C
YGR193C
YGR204W
YGR208W
YGR240C
YGR244C
YGR255C
YGR267C
YGR279C
YGR282C
YGR287C
YGR292W
YHL009W-B
YHL012W
YHR004C
YHR023W
YHR037W
YHR039C
YHR043C
YHR044C
YHR049W
YHR079C
YHR111W
YHR123W
YHR128W
YHR129C
YHR144C
YHR164C
YHR190W
YHR198C
YHR199C
YHR204W
YHR208W
YHR209W
YHR214C-B
YHR215W
YIL009W
YIL020C
YIL039W
YIL048W
YIL053W
YIL066C
YIL074C
YIL082W-A
YIL099W
YIL116W
YIL123W
YIL124W
YIL125W
YIL160C
YIL162W
YIL172C
YIL177C
YIR007W
YIR035C
YIR036C
YIR042C
YJL062W
YJL087C
YJL113W
YJL121C
YJL130C
YJL130C
YJL155C
YJL172W
YJL200C
YJL213W
YJL216C
YJL218W
YJL218W
YJL221C
YJL225C
YJR016C
YJR027W
YJR029W
YJR049C
YJR072C
YJR109C
YJR131W
YJR137C
YJR142W
YJR148W
YJR153W
YKL011C
YKL033W-A
YKL035W
YKL046C
YKL055C
YKL073W
YKL079W
YKL104C
YKL107W
YKL128C
YKL129C
YKL129C
YKL152C
YKL165C
YKL182W
YKL182W
YKL196C
YKL209C
YKL211C
YKL211C
YKR009C
YKR009C
YKR031C
YKR042W
YKR054C
YKR054C
YKR067W
YKR069W
YKR089C
YLL001W
YLL010C
YLL031C
YLL056C
YLL066C
YLL067C
YLR019W
YLR028C
YLR035C-A
YLR044C
YLR057W
YLR134W
YLR144C
YLR153C
YLR157C-B
YLR172C
YLR189C
YLR213C
YLR227W-B
YLR231C
YLR253W
YLR258W
YLR260W
YLR284C
YLR286C
YLR300W
YLR303W
YLR304C
YLR345W
YLR377C
YLR410W-B
YLR419W
YLR419W
YLR426W
YLR433C
YLR433C
YML008C
YML014W
YML021C
YML039W
YML045W
YML057W
YML057W
YML059C
YML060W
YML096W
YML126C
YML133C
YMR006C
YMR008C
YMR045C
YMR050C
YMR062C
YMR096W
YMR109W
YMR109W
YMR110C
YMR120C
YMR130W
YMR162C
YMR169C
YMR170C
YMR196W
YMR205C
YMR207C
YMR207C
YMR208W
YMR222C
YMR226C
YMR238W
YMR246W
YMR262W
YMR289W
YMR294W
YMR299C
YMR300C
YMR305C
YMR313C
YMR315W
YNL010W
YNL012W
YNL036W
YNL036W
YNL036W
YNL037C
YNL054W-B
YNL056W
YNL066W
YNL071W
YNL099C
YNL132W
YNL163C
YNL168C
YNL181W
YNL217W
YNL217W
YNL256W
YNL274C
YNL274C
YNL284C-B
YNL316C
YNL333W
YNL335W
YNR012W
YNR016C
YNR016C
YNR033W
YNR033W
YNR064C
YNR067C
YNR073C
YOL011W
YOL020W
YOL042W
YOL043C
YOL056W
YOL098C
YOL103W-B
YOL153C
YOL157C
YOR081C
YOR093C
YOR131C
YOR136W
YOR137C
YOR142W
YOR142W-B
YOR165W
YOR171C
YOR180C
YOR184W
YOR190W
YOR192C-B
YOR211C
YOR215C
YOR221C
YOR246C
YOR280C
YOR283W
YOR285W
YOR285W
YOR286W
YOR286W
YOR291W
YOR298W
YOR317W
YOR323C
YOR326W
YOR343W-B
YOR360C
YOR360C
YOR360C
YOR374W
YOR388C
YOR396W
YPL028W
YPL061W
YPL109C
YPL113C
YPL152W
YPL155C
YPL174C
YPL188W
YPL214C
YPL231W
YPL231W
YPL257W-B
YPL276W
YPR006C
YPR026W
YPR060C
YPR074C
YPR137C-B
YPR140W
YPR141C
YPR145W
YPR158C-D
YPR158W-B
YPR167C
YPR184W
